agency_type,product_name,gender,duration,destination,net_sales_SGD,age,claim,age_group
Travel Agency,Cancellation Plan,Not Specified,15,INDIA,27.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,62,"KOREA, REPUBLIC OF",26.0,24,0,Young Adult Travelers
Airlines,Silver Plan,F,28,SINGAPORE,50.4,42,0,Adult Travelers
Airlines,Basic Plan,F,5,CAMBODIA,18.0,34,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,22,THAILAND,20.0,56,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,41,THAILAND,39.6,33,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,4,CHINA,33.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,20,AUSTRALIA,39.6,45,0,Adult Travelers
Airlines,Bronze Plan,F,21,SINGAPORE,39.0,32,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,65,AUSTRALIA,39.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,10,INDIA,10.0,57,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,12,THAILAND,20.0,28,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,28,SINGAPORE,10.0,64,0,Senior Citizen Travelers
Airlines,Bronze Plan,M,15,SINGAPORE,20.0,33,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,THAILAND,11.0,32,0,Adult Travelers
Airlines,Value Plan,F,81,"KOREA, REPUBLIC OF",45.0,23,0,Young Adult Travelers
Airlines,Basic Plan,F,6,MYANMAR,18.0,25,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,19,UNITED KINGDOM,29.7,28,0,Young Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,1,INDONESIA,20.0,57,0,Adult Travelers
Airlines,Value Plan,M,18,CHINA,58.0,30,0,Young Adult Travelers
Travel Agency,Comprehensive Plan,F,253,MALAYSIA,29.0,29,0,Young Adult Travelers
Airlines,Basic Plan,M,25,CHINA,22.0,32,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,33,FRANCE,20.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,5,MALAYSIA,41.0,34,0,Adult Travelers
Travel Agency,Value Plan,M,162,NETHERLANDS,109.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,37,HONG KONG,20.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,24,"TANZANIA, UNITED REPUBLIC OF",112.0,36,0,Adult Travelers
Airlines,Value Plan,F,44,BRUNEI DARUSSALAM,31.0,72,0,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,32,UNITED STATES,112.0,46,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,17,SOUTH AFRICA,49.5,60,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,1,CHINA,24.0,35,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,32,JAPAN,39.6,61,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,42,HONG KONG,12.0,21,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,96,AUSTRALIA,24.0,22,0,Young Adult Travelers
Airlines,Bronze Plan,F,19,SINGAPORE,27.0,32,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,24,INDIA,44.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,45,THAILAND,30.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,36,HONG KONG,25.0,49,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,23,PHILIPPINES,20.0,36,0,Adult Travelers
Airlines,Basic Plan,Not Specified,20,CANADA,35.0,41,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,67,CHINA,19.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,NEW ZEALAND,10.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,46,AUSTRALIA,69.3,43,0,Adult Travelers
Airlines,Basic Plan,M,37,"TAIWAN, PROVINCE OF CHINA",26.0,66,0,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,12,MYANMAR,40.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,144,MACAO,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,29,CHINA,29.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,5,SINGAPORE,11.5,30,0,Young Adult Travelers
Travel Agency,Comprehensive Plan,F,29,MALAYSIA,29.0,74,0,Senior Citizen Travelers
Travel Agency,Annual Travel Protect Gold,M,365,CHINA,204.6,44,0,Adult Travelers
Airlines,Value Plan,M,36,VIET NAM,29.0,52,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,76,CHINA,21.0,36,0,Adult Travelers
Airlines,Value Plan,M,103,UNITED STATES,96.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,24,MALAYSIA,10.0,56,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,7,SINGAPORE,42.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,17,MALAYSIA,35.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,9,SINGAPORE,23.5,24,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,10,MALAYSIA,19.8,33,0,Adult Travelers
Airlines,Silver Plan,M,6,SINGAPORE,18.5,21,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,50,INDONESIA,26.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,11,"TAIWAN, PROVINCE OF CHINA",39.6,33,0,Adult Travelers
Airlines,Basic Plan,M,3,HONG KONG,22.0,62,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,55,INDONESIA,21.0,36,0,Adult Travelers
Airlines,Annual Silver Plan,F,365,SINGAPORE,216.0,42,0,Adult Travelers
Airlines,Ticket Protector,Not Specified,48,SINGAPORE,4.6,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,10,MALAYSIA,20.0,32,0,Adult Travelers
Airlines,Silver Plan,M,62,SINGAPORE,63.5,30,0,Young Adult Travelers
Airlines,Silver Plan,F,91,SINGAPORE,56.5,18,1,Child Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,175,JAPAN,38.0,36,0,Adult Travelers
Airlines,Ticket Protector,Not Specified,102,SINGAPORE,9.7,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,3,MALAYSIA,20.0,41,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,37,UNITED STATES,79.2,51,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,75,SINGAPORE,112.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,19,CHINA,45.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,8,SWITZERLAND,49.5,51,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,5,MYANMAR,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,3,UNITED STATES,80.0,32,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,47,SINGAPORE,56.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,21,MALAYSIA,25.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,12,INDIA,10.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,20,PHILIPPINES,29.7,31,0,Adult Travelers
Airlines,Bronze Plan,M,18,SINGAPORE,30.55,74,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,7,SINGAPORE,10.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,SINGAPORE,16.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,26,AUSTRALIA,35.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,5,THAILAND,89.0,43,0,Adult Travelers
Airlines,Gold Plan,M,9,SINGAPORE,51.0,24,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,96,CAMBODIA,27.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,13,"KOREA, REPUBLIC OF",29.7,42,0,Adult Travelers
Airlines,Basic Plan,M,58,THAILAND,22.0,47,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,6,"KOREA, REPUBLIC OF",19.8,31,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,10,AUSTRALIA,89.1,36,0,Adult Travelers
Airlines,Basic Plan,F,29,CHINA,22.0,29,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,94,INDONESIA,20.0,40,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,57,THAILAND,20.0,36,0,Adult Travelers
Airlines,Annual Silver Plan,F,365,SINGAPORE,216.0,35,0,Adult Travelers
Airlines,Basic Plan,M,115,HONG KONG,40.0,52,0,Adult Travelers
Airlines,Bronze Plan,M,44,SINGAPORE,30.55,68,0,Senior Citizen Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,12,CANADA,108.9,53,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,40,NEW ZEALAND,46.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,INDONESIA,10.0,56,0,Adult Travelers
Airlines,Bronze Plan,M,8,SINGAPORE,13.5,30,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,43,CANADA,47.0,49,0,Adult Travelers
Travel Agency,Value Plan,F,20,NETHERLANDS,109.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,8,HONG KONG,19.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,10,HONG KONG,26.0,36,0,Adult Travelers
Airlines,Gold Plan,M,19,SINGAPORE,112.7,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,134,AUSTRALIA,44.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,8,BANGLADESH,34.0,50,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,3,THAILAND,33.0,47,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,61,SINGAPORE,20.0,46,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,HONG KONG,29.0,36,0,Adult Travelers
Airlines,Basic Plan,M,30,CHINA,26.0,27,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,178,ISRAEL,80.0,36,0,Adult Travelers
Airlines,Silver Plan,F,10,SINGAPORE,34.3,72,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,27,UNITED STATES,21.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,51,JAPAN,15.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,8,NORWAY,39.6,35,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,55,"KOREA, REPUBLIC OF",43.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,12,PHILIPPINES,80.0,36,0,Adult Travelers
Airlines,Basic Plan,F,8,PHILIPPINES,22.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,48,THAILAND,39.6,34,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,8,CHINA,63.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,31,DENMARK,118.8,41,0,Adult Travelers
Airlines,Bronze Plan,M,17,SINGAPORE,17.55,56,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,28,CHINA,24.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,12,PHILIPPINES,26.0,35,0,Adult Travelers
Airlines,Silver Plan,M,48,SINGAPORE,57.0,41,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,16,CHINA,25.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,19,SINGAPORE,37.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,UNITED ARAB EMIRATES,56.0,36,0,Adult Travelers
Airlines,Silver Plan,M,2,SINGAPORE,15.0,31,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,12,CHINA,41.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,15,THAILAND,12.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,58,MALAYSIA,11.0,30,0,Young Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,70,NEPAL,20.0,36,0,Adult Travelers
Travel Agency,Value Plan,M,22,INDONESIA,33.0,48,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,17,UNITED KINGDOM,128.7,43,0,Adult Travelers
Airlines,Value Plan,Not Specified,10,BRUNEI DARUSSALAM,23.0,38,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,1,PHILIPPINES,17.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,2,SINGAPORE,29.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,39,MALAYSIA,11.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,16,THAILAND,20.0,26,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,10,AUSTRALIA,89.1,28,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,29,THAILAND,20.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,113,PHILIPPINES,20.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,12,CHINA,34.0,52,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,9,ICELAND,10.0,35,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,26,THAILAND,80.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,119,UNITED KINGDOM,112.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,219,SPAIN,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,39,PHILIPPINES,80.0,55,0,Adult Travelers
Airlines,Basic Plan,F,43,INDONESIA,42.0,41,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,HONG KONG,22.0,42,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,66,PHILIPPINES,50.0,36,1,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,39,SINGAPORE,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,71,PHILIPPINES,13.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,17,THAILAND,58.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,MACAO,30.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,24,JAPAN,61.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,66,INDONESIA,10.0,69,0,Senior Citizen Travelers
Airlines,Basic Plan,M,127,CHINA,26.0,35,0,Adult Travelers
Airlines,Basic Plan,F,37,HONG KONG,22.0,44,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,65,"KOREA, REPUBLIC OF",39.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,55,MALAYSIA,20.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,19,CHINA,28.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,35,UNITED STATES,10.0,20,0,Young Adult Travelers
Travel Agency,Single Trip Travel Protect Silver,M,5,CHINA,25.0,42,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,44,THAILAND,29.7,65,0,Senior Citizen Travelers
Airlines,Ticket Protector,Not Specified,13,SINGAPORE,4.12,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,41,THAILAND,17.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,23,CHINA,48.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,52,NEPAL,27.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,46,AUSTRALIA,69.3,25,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,66,CYPRUS,148.5,45,0,Adult Travelers
Airlines,Basic Plan,M,4,CHINA,22.0,43,0,Adult Travelers
Airlines,Silver Plan,M,6,SINGAPORE,22.5,11,0,Child Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,31,THAILAND,29.7,27,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,123,MALAYSIA,26.0,28,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,21,THAILAND,29.0,39,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,77,PHILIPPINES,12.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,46,SWITZERLAND,108.9,61,0,Senior Citizen Travelers
Airlines,Basic Plan,M,43,THAILAND,30.0,32,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,37,SPAIN,39.6,64,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,2,UNITED STATES,80.0,26,0,Young Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,74,SINGAPORE,20.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,47,GREECE,20.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,15,SINGAPORE,33.5,24,0,Young Adult Travelers
Airlines,Bronze Plan,F,23,SINGAPORE,40.5,34,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,94,SINGAPORE,20.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,34,AUSTRALIA,39.6,52,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,10,VIET NAM,43.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,28,PHILIPPINES,20.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,7,MALAYSIA,9.9,49,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,43,AUSTRALIA,79.2,30,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,80,MYANMAR,14.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,THAILAND,11.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,20,INDONESIA,65.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,77,MALAYSIA,19.8,37,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,46,UNITED STATES,80.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,4,JAPAN,13.0,30,0,Young Adult Travelers
Airlines,Bronze Plan,F,16,SINGAPORE,33.5,26,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,127,JAPAN,36.0,36,0,Adult Travelers
Airlines,Ticket Protector,Not Specified,162,SINGAPORE,10.04,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,10,CZECH REPUBLIC,85.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,82,INDIA,18.0,38,0,Adult Travelers
Airlines,Annual Silver Plan,F,364,SINGAPORE,252.85,26,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,137,JAPAN,26.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,18,INDIA,12.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,8,SINGAPORE,24.0,36,0,Adult Travelers
Airlines,Value Plan,M,104,UNITED STATES,138.0,50,0,Adult Travelers
Airlines,Value Plan,Not Specified,12,BRUNEI DARUSSALAM,15.0,69,0,Senior Citizen Travelers
Airlines,Bronze Plan,F,8,SINGAPORE,20.0,33,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,CAMBODIA,15.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,25,"KOREA, REPUBLIC OF",51.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,42,INDIA,80.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,46,UNITED STATES,59.4,30,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,19,SINGAPORE,21.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,20,CHINA,35.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,1,CHINA,19.0,36,0,Adult Travelers
Airlines,Bronze Plan,M,12,SINGAPORE,47.0,34,1,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,42,CHINA,23.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,99,UNITED KINGDOM,198.0,31,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,56,SWITZERLAND,73.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,4,NEW ZEALAND,29.7,34,0,Adult Travelers
Travel Agency,Single Trip Travel Protect Platinum,F,3,THAILAND,26.5,32,0,Adult Travelers
Travel Agency,Travel Cruise Protect,F,23,THAILAND,30.0,34,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,9,CHINA,64.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,20,CHINA,35.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,58,SINGAPORE,22.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,4,SINGAPORE,20.0,35,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,24,AUSTRALIA,69.3,42,0,Adult Travelers
Airlines,Value Plan,M,9,PHILIPPINES,26.0,63,0,Senior Citizen Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,13,AUSTRALIA,59.4,29,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,93,NETHERLANDS,64.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,33,CHINA,14.0,36,0,Adult Travelers
Airlines,Value Plan,M,21,BRUNEI DARUSSALAM,15.0,59,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,13,HONG KONG,46.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,126,VIET NAM,19.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,11,CANADA,49.5,44,0,Adult Travelers
Travel Agency,Premier Plan,M,45,NETHERLANDS,111.0,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,36,THAILAND,20.0,36,0,Adult Travelers
Airlines,Basic Plan,M,5,THAILAND,22.0,57,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,28,JAPAN,77.0,36,0,Adult Travelers
Airlines,Basic Plan,F,4,THAILAND,22.0,40,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,15,DENMARK,19.8,58,0,Adult Travelers
Airlines,Basic Plan,M,8,CHINA,22.0,57,0,Adult Travelers
Airlines,Bronze Plan,F,4,SINGAPORE,17.55,46,0,Adult Travelers
Airlines,Gold Plan,M,19,SINGAPORE,105.6,65,1,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,4,HONG KONG,52.0,35,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,92,THAILAND,41.0,33,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,8,THAILAND,19.0,40,0,Adult Travelers
Airlines,Bronze Plan,F,21,SINGAPORE,47.0,42,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,1,INDIA,19.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,29,CANADA,80.0,50,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,85,UNITED STATES,26.0,69,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,30,SRI LANKA,17.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,93,INDIA,10.0,36,0,Adult Travelers
Airlines,Basic Plan,M,85,CHINA,26.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,36,UNITED STATES,12.0,46,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,91,"KOREA, REPUBLIC OF",29.7,30,0,Young Adult Travelers
Airlines,Basic Plan,M,10,INDONESIA,18.0,53,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,45,CAMBODIA,20.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,34,SPAIN,19.8,41,0,Adult Travelers
Airlines,Basic Plan,F,13,THAILAND,22.0,60,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,21,AUSTRALIA,49.5,47,1,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,14,CHINA,36.0,36,0,Adult Travelers
Airlines,Annual Silver Plan,M,365,SINGAPORE,216.0,24,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,52,GERMANY,77.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,53,AUSTRALIA,19.8,31,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,40,UZBEKISTAN,25.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,37,CHINA,20.0,36,0,Adult Travelers
Airlines,Basic Plan,M,5,PHILIPPINES,18.0,47,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,INDIA,15.0,36,0,Adult Travelers
Airlines,Basic Plan,M,6,CHINA,26.0,58,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,42,MALAYSIA,20.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,54,INDONESIA,24.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,90,NORWAY,79.2,61,0,Senior Citizen Travelers
Airlines,Basic Plan,F,14,HONG KONG,26.0,69,0,Senior Citizen Travelers
Airlines,Annual Silver Plan,M,365,SINGAPORE,187.85,41,0,Adult Travelers
Airlines,Value Plan,M,12,JAPAN,69.0,33,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,SINGAPORE,10.0,58,0,Adult Travelers
Airlines,Value Plan,F,32,ITALY,125.0,39,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,INDIA,39.0,36,0,Adult Travelers
Airlines,Basic Plan,F,6,THAILAND,22.0,47,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,24,JAPAN,101.0,42,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,201,GERMANY,80.0,36,0,Adult Travelers
Airlines,Basic Plan,M,68,"TAIWAN, PROVINCE OF CHINA",35.0,33,0,Adult Travelers
